ExperimentName	subjID	SessionDate	accept	offer	accept	Wait2.RT	targettext	trail
part1_UG_gain_f_red_1	18	01-06-2020	0	2.0	0	1729.0	2.0	14
part1_UG_gain_f_red_1	18	01-06-2020	1	4.0	1	1090.0	4.0	15
part1_UG_gain_f_red_1	18	01-06-2020	0	1.0	0	584.0	1.0	16
part1_UG_gain_f_red_1	18	01-06-2020	1	4.0	1	997.0	4.0	17
part1_UG_gain_f_red_1	18	01-06-2020	0	3.0	0	1648.0	2.0	18
part1_UG_gain_f_red_1	18	01-06-2020	1	5.0	1	527.0	5.0	19
part1_UG_gain_f_red_1	18	01-06-2020	0	2.0	0	618.0	2.0	20
part1_UG_gain_f_red_1	18	01-06-2020	1	5.0	1	756.0	5.0	21
part1_UG_gain_f_red_1	18	01-06-2020	0	3.0	0	1153.0	2.0	22
part1_UG_gain_f_red_1	18	01-06-2020	0	1.0	0	442.0	1.0	23
part1_UG_gain_f_red_1	18	01-06-2020	0	2.0	0	989.0	2.0	24
part1_UG_gain_f_red_1	18	01-06-2020	1	4.0	1	589.0	4.0	25
part1_UG_gain_f_red_1	18	01-06-2020	0	3.0	0	615.0	2.0	26
part1_UG_gain_f_red_1	18	01-06-2020	1	4.0	1	538.0	4.0	27
part1_UG_gain_f_red_1	18	01-06-2020	0	1.0	0	876.0	1.0	28
part1_UG_gain_f_red_1	18	01-06-2020	1	5.0	1	391.0	5.0	29
part1_UG_gain_f_red_1	18	01-06-2020	0	2.0	0	357.0	2.0	30
part1_UG_gain_f_red_1	18	01-06-2020	0	2.0	0	1488.0	2.0	31
part1_UG_gain_f_red_1	18	01-06-2020	1	4.0	1	426.0	4.0	32
part1_UG_gain_f_red_1	18	01-06-2020	0	1.0	0	480.0	1.0	33
part1_UG_gain_f_red_1	18	01-06-2020	1	5.0	1	233.0	5.0	34
part1_UG_gain_f_red_1	18	01-06-2020	0	3.0	0	1019.0	2.0	35
part1_UG_gain_f_red_1	18	01-06-2020	0	1.0	0	387.0	1.0	36
part1_UG_gain_f_red_1	18	01-06-2020	1	5.0	1	449.0	5.0	37
